"","nobs","nsim","rho","sel.cri","lm","heck.noinst","heck.inst"
"265",100,45,-0.9,0,-0.219655337458663,0.623537334795524,-0.0348607219809354
"266",200,45,-0.9,0,-0.131152939294827,-0.747327888462668,0.0825174328618419
"267",500,45,-0.9,0,-0.289144390610238,-0.434071656420202,-0.0514811223930184
"268",1100,45,-0.9,0,-0.246490288566531,-0.233652727243456,-0.0756762640988297
"269",3000,45,-0.9,0,-0.246977511578127,-0.0417743924526114,-0.0349692577198342
"270",8200,45,-0.9,0,-0.21893287051857,-0.0142619358607204,0.00263164680932126
"271",100,46,-0.9,0,-0.132700394826538,-0.0974814806999401,0.0988134792481166
"272",200,46,-0.9,0,-0.234755531082808,0.0045163579431049,-0.0306599693709001
"273",500,46,-0.9,0,-0.165534605861379,-0.131261469449836,0.00649614074221394
"274",1100,46,-0.9,0,-0.229646670297147,-0.202084006812371,-0.0377139035871563
"275",3000,46,-0.9,0,-0.167866553701446,0.10067234569372,0.02622542982891
"276",8200,46,-0.9,0,-0.222558171159052,0.00568259661417914,-0.000911616916232649
"277",100,47,-0.9,0,-0.453382143163668,-1.57957959628534,-0.256787420156034
"278",200,47,-0.9,0,-0.220143246432137,-0.377316247795331,-0.0249243206841169
"279",500,47,-0.9,0,-0.219745332993576,0.122434279984337,0.0547445002573919
"280",1100,47,-0.9,0,-0.254941574370083,-0.00357319832936775,-0.0256770984335577
"281",3000,47,-0.9,0,-0.221732827968657,-0.0429287202059188,-0.00584426817644779
"282",8200,47,-0.9,0,-0.236115945881437,-0.0474354603809174,-0.0123395456508109
"283",100,48,-0.9,0,-0.0790387921722123,-0.18276956417358,-0.054832308097118
"284",200,48,-0.9,0,-0.179017683382222,-0.0443919259033235,0.11654768016901
"285",500,48,-0.9,0,-0.245725169860705,-0.012633241385495,0.000622894366264726
"286",1100,48,-0.9,0,-0.180810350374073,0.0807254008523526,-0.014361038025303
"287",3000,48,-0.9,0,-0.244224172070263,-0.13164982138592,-0.0330455497702847
"288",8200,48,-0.9,0,-0.18730014193159,0.0435394000664158,0.0410522466994012
"289",100,49,-0.9,0,-0.370471728395339,-1.30848354380803,-0.114090507149589
"290",200,49,-0.9,0,-0.232850201291801,-0.0671271974810494,0.0345318704786741
"291",500,49,-0.9,0,-0.273253066231662,-0.537221390891555,-0.1087701638418
"292",1100,49,-0.9,0,-0.185864325033928,0.104042768231863,0.0268718745751346
"293",3000,49,-0.9,0,-0.173290702271622,0.0427482261373879,0.0235155997035692
"294",8200,49,-0.9,0,-0.232639661141364,0.00239536566740806,-0.0116065392803699
"295",100,50,-0.9,0,-0.116690154281488,-0.0786329570996165,0.0452099549984561
"296",200,50,-0.9,0,-0.032452817247989,0.2537069900122,0.153178733868743
"297",500,50,-0.9,0,-0.116824308858843,0.0132220694421057,0.113618873449163
"298",1100,50,-0.9,0,-0.192469039420817,0.029266269019246,0.044568242594784
"299",3000,50,-0.9,0,-0.269875427216253,-0.0109819245300627,-0.0370423180572023
"300",8200,50,-0.9,0,-0.217306780126895,0.00461023568639818,-0.00136272157208484
"301",100,51,-0.9,0,-0.19529015807784,0.116817797936217,-0.0656156539246736
"302",200,51,-0.9,0,-0.142128356331518,-0.137181872902334,0.103698315166522
"303",500,51,-0.9,0,-0.117041424395922,0.0726286120666526,0.0581557419601129
"304",1100,51,-0.9,0,-0.224092136021622,-0.0381549655661187,-0.0154336956934965
"305",3000,51,-0.9,0,-0.218346910278034,0.0606220023979476,0.0130991813159822
"306",8200,51,-0.9,0,-0.22383494303123,-0.0364537815236466,-0.015692481873088
"307",100,52,-0.9,0,-0.127298903412308,-0.0800376150176128,-0.0312852316714317
"308",200,52,-0.9,0,-0.120872336975419,-0.467390695272984,0.167602077110999
"309",500,52,-0.9,0,-0.179946541085079,-0.0969114618471709,0.000458576269622979
"310",1100,52,-0.9,0,-0.287065752422728,-0.0108072232812678,-0.0856314570636336
"311",3000,52,-0.9,0,-0.163125943125074,0.149069599035787,0.0460636599007886
"312",8200,52,-0.9,0,-0.201705366003938,0.0211850163115552,0.0256099379580603
"313",100,53,-0.9,0,-0.208581648959265,-0.158261956160163,0.0565135153357537
"314",200,53,-0.9,0,-0.183874277870682,-0.0847320022190693,-0.0413762540513912
"315",500,53,-0.9,0,-0.310116143108061,-0.0997161807788526,-0.0287645192747764
"316",1100,53,-0.9,0,-0.193289586564502,-0.0252117932340233,0.0183528300827138
"317",3000,53,-0.9,0,-0.202512196801673,0.0250072957522132,0.0230997768561081
"318",8200,53,-0.9,0,-0.219932204055358,0.00547974572276222,0.00115756044892401
"319",100,54,-0.9,0,-0.246614395586773,-0.265623335379382,0.101898428720132
"320",200,54,-0.9,0,-0.231924416785063,-0.401405001827352,0.0982870729377014
"321",500,54,-0.9,0,-0.160310861339116,0.122834494748845,0.018875679700213
"322",1100,54,-0.9,0,-0.185368562062474,0.0598331966487851,0.0207977375492534
"323",3000,54,-0.9,0,-0.191303670875715,-0.0867135374982225,0.00150482024471943
"324",8200,54,-0.9,0,-0.238059855024779,0.000169692260287624,-0.0319021841931211
"325",100,55,-0.9,0,-0.213153987863975,-0.856368347740645,-0.0470968082090778
"326",200,55,-0.9,0,-0.226192187554214,0.178089257943034,-0.0923918867874686
"327",500,55,-0.9,0,-0.209893214104797,-0.259131718412513,0.0572005483949638
"328",1100,55,-0.9,0,-0.240052848434881,-0.101772104171615,0.0418153085831852
"329",3000,55,-0.9,0,-0.234197740606954,-0.0552329589442945,-0.0161622368079855
